route_id,route_short_name,gtfs_from,gtfs_to,matched_key,ctb_origin_tc,ctb_destination_tc,orientation,sim_from,sim_to,avg,reason
1000398,788,小西灣(藍灣半島),中環(港澳碼頭)(不停富景花園，曉翠街及國際調解院),CTB-788-I,中環 (港澳碼頭),小西灣 (藍灣半島),swapped,1.000,0.286,0.643,
8636,B5,港珠澳大橋香港口岸,欣澳站(不經迪士尼樂園),CTB-B5-I,欣澳站,港珠澳大橋香港口岸,swapped,1.000,0.300,0.650,
1000343,94A,華富(中),利東邨(利東街市為終站),CTB-94A-I,利東邨,華富 (中),swapped,1.000,0.300,0.650,
1511,15C,中環 (香港摩天輪),花園道(山頂纜車總站),CTB-15C-I,花園道,中環 (香港摩天輪),swapped,1.000,0.333,0.667,
1534,314,小西灣(藍灣半島),赤柱(循環線),CTB-314-I,赤柱 (海灘／市場),小西灣 (藍灣半島),swapped,1.000,0.333,0.667,
1594,70,華貴,中環(交易廣場),CTB-70-I,中環 (交易廣場),華貴 (經:香港仔),swapped,0.333,1.000,0.667,
1744,15,中環(交易廣場),山頂,CTB-15-I,山頂,中環,swapped,0.333,1.000,0.667,
8161,952,屯門(置樂花園),金鐘(西),CTB-952-I,銅鑼灣 (摩頓台)／金鐘 (西),屯門 (置樂花園),swapped,1.000,0.333,0.667,
8221,H2,尖沙咀,中環 (天星碼頭),CTB-H2-I,尖沙咀,中環碼頭-天星小輪 ．落日飛車,forward,1.000,0.333,0.667,
8257,4X,華富(南),中環,CTB-4X-I,中環 (交易廣場),華富 (南),swapped,1.000,0.333,0.667,
8419,722,耀東邨,中環(交易廣場),CTB-722-I,中環碼頭,耀東邨,swapped,1.000,0.333,0.667,
8490,682B,水泉澳邨,柴灣(東)(經沙田第一城),CTB-682B-I,柴灣 (東),水泉澳邨,swapped,1.000,0.333,0.667,
8609,26,勵德邨,荷李活道(循環線)(不經遮打道),CTB-26-I,荷李活道,勵德邨,swapped,1.000,0.333,0.667,
1000293,967,天水圍(天恩邨),金鐘站(西)(不停美湖居),CTB-967-I,金鐘 (西),天水圍 (天恩邨),swapped,1.000,0.333,0.667,
1000349,8P,小西灣(藍灣半島),會展站(不停富景花園),CTB-8P-I,會展站,小西灣 (藍灣半島),swapped,1.000,0.333,0.667,
1000405,20A,高鐵西九龍站,啟德郵輪碼頭,CTB-20A-I,高鐵西九龍站 (經:旺角),啟德郵輪碼頭 (經:旺角),forward,0.667,0.667,0.667,
1000395,789,小西灣(藍灣半島),金鐘(樂禮街)(不停富景花園及曉翠街),CTB-789-I,金鐘 (樂禮街),小西灣 (藍灣半島),swapped,1.000,0.333,0.667,
1000485,78P,粉嶺皇后山,觀塘 (鯉魚門道),CTB-78P-O,粉嶺皇后山,觀塘,forward,1.000,0.333,0.667,
1000637,B3A,深圳灣口岸,富泰邨,CTB-B3A-I,深圳灣口岸,山景邨,forward,1.000,0.333,0.667,
1000493,95C,鴨脷洲(利南道工業區),置富花園(循環線),CTB-95C-I,置富花園,鴨脷洲邨 / 利南工業區,swapped,0.778,0.571,0.675,
8266,930X,銅鑼灣 (摩頓台),荃灣 (愉景新城)(銅鑼灣方向途經如心廣場),CTB-930X-I,銅鑼灣 (摩頓台),荃灣 (愉景新城),forward,1.000,0.353,0.676,
1000399,788,小西灣(藍灣半島),中環(港澳碼頭)(不停曉翠街及國際調解院),CTB-788-I,中環 (港澳碼頭),小西灣 (藍灣半島),swapped,1.000,0.353,0.676,
1522,25,中環 (3 號碼頭),寶馬山(循環線),CTB-25-I,寶馬山,中環 (3 / 5 號碼頭),swapped,0.857,0.500,0.679,
1667,973,尖沙咀東(麼地道),赤柱,CTB-973-I,赤柱市場,尖沙咀 (麼地道),swapped,0.857,0.500,0.679,
8111,14,嘉亨灣,赤柱砲台(閘口)(經赤柱村、赤柱監獄),CTB-14-I,赤柱炮台 (閘口)／馬坑,嘉亨灣,swapped,1.000,0.357,0.679,
8654,720P,太古城,中環(永和街)(以永和街為終點班次),CTB-720P-I,中環 (永和街),太古城,swapped,1.000,0.357,0.679,
8752,S52,東涌 (逸東邨),飛機維修區(不經國泰城及貨運區),CTB-S52-I,飛機維修區,東涌 (逸東邨),swapped,1.000,0.357,0.679,
1000281,720,嘉亨灣,中環 (永和街)(以永和街為終點班次),CTB-720-I,中環 (港澳碼頭 / 永和街),嘉亨灣,swapped,1.000,0.357,0.679,
1740,6,中環(交易廣場),赤柱市場(經舂磡角及馬坑),CTB-6-I,赤柱市場,中環 (交易廣場),swapped,1.000,0.364,0.682,
8110,14,嘉亨灣,赤柱廣場(晨早班次經馬坑),CTB-14-I,赤柱炮台 (閘口)／馬坑,嘉亨灣,swapped,1.000,0.364,0.682,
